Product or Part number	Frequency (MHz)	Nonvolatile memory (kByte)	RAM (kByte)	ADC type	Number of ADC channels	Number of GPIOs	UART	USB	Number of I2Cs	SPI	Number of comparator channels	Timers - 16-bit	Bootloader (BSL)	Special I/O	Operating temperature range (°C)	Price|Quantity (USD)	Package type	Pin count	Package area (mm^2)	Package size (L x W) (mm)	Features
MSP430AFE221	12.00	4.00	0.25	16-bit Sigma Delta	1	11	1	No	0	1	0	1	UART		-40 to 85	1.48	TSSOP	24	49.92	7.8 x 6.4	Advanced sensing
MSP430AFE222	12.00	4.00	0.25	24-bit Sigma Delta	2	11	1	No	0	1	0	1	UART		-40 to 85	1.48	TSSOP	24	49.92	7.8 x 6.4	Advanced sensing
MSP430AFE223	12.00	4.00	0.25	24-bit Sigma Delta	3	11	1	No	0	1	0	1	UART		-40 to 85	1.48	TSSOP	24	49.92	7.8 x 6.4	Advanced sensing
MSP430AFE231	12.00	8.00	0.50	24-bit Sigma Delta	1	11	1	No	0	1	0	1	UART		-40 to 85	1.65	TSSOP	24	49.92	7.8 x 6.4	Advanced sensing
MSP430AFE232	12.00	8.00	0.50	24-bit Sigma Delta	2	11	1	No	0	1	0	1	UART		-40 to 85	1.65	TSSOP	24	49.92	7.8 x 6.4	Advanced sensing
MSP430AFE233	12.00	8.00	0.50	24-bit Sigma Delta	3	11	1	No	0	1	0	1	UART		-40 to 85	1.65	TSSOP	24	49.92	7.8 x 6.4	Advanced sensing
MSP430AFE251	12.00	16.00	0.50	24-bit Sigma Delta	1	11	1	No	0	1	0	1	None		-40 to 85	2.34	TSSOP	24	49.92	7.8 x 6.4	Advanced sensing
MSP430AFE252	12.00	16.00	0.50	24-bit Sigma Delta	2	11	1	No	0	1	0	1	None		-40 to 85	2.14	TSSOP	24	49.92	7.8 x 6.4	Advanced sensing
MSP430AFE253	12.00	16.00	0.50	24-bit Sigma Delta	3	11	1	No	0	1	0	1	None		-40 to 85	2.30	TSSOP	24	49.92	7.8 x 6.4	Advanced sensing
MSP430BT5190	25.00	256.00	16.00	12-bit SAR	14	87	0	No	4	4	0	3	UART		-40 to 85	4.04	JRBGA,LQFP,NFBGA	100,113	49,256	16 x 16,7 x 7	Real-time clock
MSP430F1101A	8.00	1.00	0.13	Slope	0	14	0	No	0	0	2	1	UART		-40 to 85	1.13	SOIC,TSSOP,TVSOP,VQFN	20,24	16,32,41.6,131.84	12.8 x 10.3,4 x 4,5 x 6.4,6.5 x 6.4	Real-time clock
MSP430F1111A	8.00	2.00	0.13	Slope	0	14	0	No	0	0	2	1	UART		-40 to 85	1.30	SOIC,TSSOP,TVSOP,VQFN	20,24	16,32,41.6,131.84	12.8 x 10.3,4 x 4,5 x 6.4,6.5 x 6.4	Real-time clock
MSP430F112	8.00	4.00	0.25		0	14	0	No	0	0	0	1	UART		-40 to 85	1.82	TSSOP	20	41.6	6.5 x 6.4	Real-time clock
MSP430F1121A	8.00	4.00	0.25	Slope	0	14	0	No	0	0	2	1	UART		-40 to 85	1.49	SOIC,TSSOP,TVSOP,VQFN	20,24	16,32,41.6,131.84	12.8 x 10.3,4 x 4,5 x 6.4,6.5 x 6.4	Real-time clock
MSP430F1122	8.00	4.00	0.25	10-bit SAR	5	14	0	No	0	0	0	1	UART		-40 to 85	1.11	SOIC,TSSOP,VQFN	20,32	25,41.6,131.84	12.8 x 10.3,5 x 5,6.5 x 6.4	Real-time clock
MSP430F1132	8.00	8.00	0.25	10-bit SAR	5	14	0	No	0	0	0	1	UART		-40 to 85	1.90	SOIC,TSSOP,VQFN	20,32	25,41.6,131.84	12.8 x 10.3,5 x 5,6.5 x 6.4	Real-time clock
MSP430F122	8.00	4.00	0.25	Slope	0	22	1	No	0	1	2	1	UART		-40 to 85	1.66	SOIC,TSSOP,VQFN	28,32	25,62.08,184.37	17.9 x 10.3,5 x 5,9.7 x 6.4	Real-time clock
MSP430F1222	8.00	4.00	0.25	10-bit SAR	8	22	1	No	0	1	0	1	UART		-40 to 85	2.05	SOIC,TSSOP,VQFN	28,32	25,62.08,184.37	17.9 x 10.3,5 x 5,9.7 x 6.4	Real-time clock
MSP430F123	8.00	8.00	0.25	Slope	0	22	1	No	0	1	2	1	UART		-40 to 85	2.04	SOIC,TSSOP,VQFN	28,32	25,62.08,184.37	17.9 x 10.3,5 x 5,9.7 x 6.4	Real-time clock
MSP430F1232	8.00	8.00	0.25	10-bit SAR	8	22	1	No	0	1	0	1	UART		-40 to 85	2.17	SOIC,TSSOP,VQFN	28,32	25,62.08,184.37	17.9 x 10.3,5 x 5,9.7 x 6.4	Real-time clock
MSP430F133	8.00	8.00	0.25	12-bit SAR	8	48	1	No	0	1	2	2	UART		-40 to 85	2.40	LQFP,TQFP,VQFNP	64	81,144	12 x 12,9 x 9	
MSP430F135	8.00	16.00	0.50	12-bit SAR	8	48	1	No	0	1	2	2	UART		-40 to 85	3.43	LQFP,TQFP,VQFNP	64	81,144	12 x 12,9 x 9	
MSP430F147	8.00	32.00	1.00	12-bit SAR	8	48	2	No	0	2	2	2	UART		-40 to 85	4.74	LQFP,TQFP,VQFNP	64	81,144	12 x 12,9 x 9	
MSP430F1471	8.00	32.00	1.00	Slope	0	48	2	No	0	2	2	2	UART		-40 to 85	5.39	LQFP,VQFNP	64	81,144	12 x 12,9 x 9	
MSP430F148	8.00	48.00	2.00	12-bit SAR	8	48	2	No	0	2	2	2	UART		-40 to 85	5.14	LQFP,TQFP,VQFNP	64	81,144	12 x 12,9 x 9	
MSP430F1481	8.00	48.00	2.00	Slope	0	48	2	No	0	2	2	2	UART		-40 to 85	6.01	LQFP,VQFNP	64	81,144	12 x 12,9 x 9	
MSP430F149	8.00	60.00	2.00	12-bit SAR	8	48	2	No	0	2	2	2	UART		-40 to 85	5.52	LQFP,TQFP,VQFNP	64	81,144	12 x 12,9 x 9	
MSP430F1491	8.00	60.00	2.00	Slope	0	48	2	No	0	2	2	2	UART		-40 to 85	6.34	LQFP,VQFNP	64	81,144	12 x 12,9 x 9	
MSP430F155	8.00	16.00	0.50	12-bit SAR	8	48	1	No	1	1	2	2	UART		-40 to 85	4.80	LQFP,VQFNP	64	81,144	12 x 12,9 x 9	Brown out detector,DAC,DMA
MSP430F156	8.00	24.00	1.00	12-bit SAR	8	48	1	No	1	1	2	2	UART		-40 to 85	6.34	LQFP,VQFNP	64	81,144	12 x 12,9 x 9	Brown out detector,DAC,DMA
MSP430F157	8.00	32.00	1.00	12-bit SAR	8	48	1	No	1	1	2	2	UART		-40 to 85	6.34	LQFP,VQFNP	64	81,144	12 x 12,9 x 9	Brown out detector,DAC,DMA
