Product or Part number	Frequency (MHz)	Nonvolatile memory (kByte)	RAM (kByte)	ADC type	Number of ADC channels	Number of GPIOs	UART	USB	Number of I2Cs	SPI	Number of comparator channels	Timers - 16-bit	Bootloader (BSL)	Special I/O	Operating temperature range (°C)	Price|Quantity (USD)	Package type	Pin count	Package area (mm^2)	Package size (L x W) (mm)	Features
CC430F5123	20.00	8.00	2.00			30	1		1	1	6	2	UART		-40 to 85		VQFN	48	49	7 x 7	Advanced sensing,Brown out reset,Real-time clock,Temp sensor,Watchdog timer
CC430F5125	20.00	16.00	2.00			30	1		1	1	6	2	UART		-40 to 85		VQFN	48	49	7 x 7	Advanced sensing,Brown out reset,Real-time clock,Temp sensor,Watchdog timer
CC430F5133	20.00	8.00	2.00	12-bit SAR	6	30	1		1	1	6	2	UART		-40 to 85		VQFN	48	49	7 x 7	Advanced sensing,Brown out reset,Real-time clock,Temp sensor,Watchdog timer
CC430F5135	20.00	16.00	2.00	12-bit SAR	6	30	1		1	1	6	2	UART		-40 to 85		VQFN	48	49	7 x 7	Advanced sensing,Brown out reset,Real-time clock,Temp sensor,Watchdog timer
CC430F5137	20.00	32.00	4.00	12-bit SAR	6	30	1		1	1	6	2	UART		-40 to 85		VQFN	48	49	7 x 7	Advanced sensing,Brown out reset,Real-time clock,Temp sensor,Watchdog timer
CC430F5143	20.00	8.00	2.00			30	1		1	1	6	2	UART		-40 to 85		VQFN	48	49	7 x 7	Advanced sensing,Brown out reset,Real-time clock,Temp sensor,Watchdog timer
CC430F5145	20.00	16.00	2.00	10-bit SAR	6	30	1		1	1	6	2	UART		-40 to 85		VQFN	48	49	7 x 7	Advanced sensing,Brown out reset,Real-time clock,Temp sensor,Watchdog timer
CC430F5147	20.00	32.00	4.00	10-bit SAR	6	30	1		1	1	6	2	UART		-40 to 85		VQFN	48	49	7 x 7	Advanced sensing,Brown out reset,Real-time clock,Temp sensor,Watchdog timer
CC430F6125	20.00	16.00	2.00	Slope	0	44	1	No	1	1	8	2	UART		-40 to 85		VQFN	64	81	9 x 9	Advanced sensing,Brown out reset,LCD,Real-time clock,Temp sensor,Watchdog timer
CC430F6126	20.00	32.00	2.00	Slope	0	44	1	No	1	1	8	2	UART		-40 to 85		VQFN	64	81	9 x 9	Advanced sensing,Brown out reset,LCD,Real-time clock,Temp sensor,Watchdog timer
CC430F6127	20.00	32.00	4.00	Slope	0	44	1	No	1	1	8	2	UART		-40 to 85	2.01	VQFN	64	81	9 x 9	Advanced sensing,Brown out reset,LCD,Real-time clock,Temp sensor,Watchdog timer
CC430F6135	20.00	16.00	2.00	12-bit SAR	8	44	1	No	1	1	8	2	UART		-40 to 85	1.72	VQFN	64	81	9 x 9	Advanced sensing,Brown out reset,LCD,Real-time clock,Temp sensor,Watchdog timer
CC430F6137	20.00	32.00	4.00	12-bit SAR	8	44	1	No	1	1	8	2	UART		-40 to 85		VQFN	64	81	9 x 9	Advanced sensing,Brown out reset,LCD,Real-time clock,Temp sensor,Watchdog timer
CC430F6143	20.00	8.00	2.00	10-bit SAR	8	44	1	No	1	1	8	2	UART		-40 to 85		VQFN	64	81	9 x 9	Advanced sensing,Brown out reset,LCD,Real-time clock,Temp sensor,Watchdog timer
CC430F6145	20.00	16.00	2.00	10-bit SAR	8	44	1	No	1	1	8	2	UART		-40 to 85		VQFN	64	81	9 x 9	Advanced sensing,Brown out reset,LCD,Real-time clock,Temp sensor,Watchdog timer
CC430F6147	20.00	32.00	4.00	10-bit SAR	8	44	1	No	1	1	8	2	UART		-40 to 85	3.10	VQFN	64	81	9 x 9	Advanced sensing,Brown out reset,LCD,Real-time clock,Temp sensor,Watchdog timer
